date,description,amount,type
2025-03-01,SALARY CREDIT,85000,credit
2025-03-02,ZOMATO ORDER,840,debit
2025-03-02,METRO CARD RECHARGE,500,debit
2025-03-03,SWIGGY ORDER,1200,debit
2025-03-04,AMAZON SHOPPING,2800,debit
2025-03-05,NETFLIX SUBSCRIPTION,499,debit
2025-03-05,SPOTIFY PREMIUM,119,debit
2025-03-06,RENT PAYMENT,22000,debit
2025-03-07,BIGBASKET ORDER,2100,debit
2025-03-07,ZOMATO ORDER,920,debit
2025-03-08,UBER RIDE,380,debit
2025-03-08,ZOMATO ORDER,1540,debit
2025-03-09,H&M PURCHASE,3400,debit
2025-03-10,GYM MEMBERSHIP,800,debit
2025-03-11,SWIGGY ORDER,670,debit
2025-03-12,BOOKMYSHOW TICKETS,750,debit
2025-03-12,SWIGGY ORDER,2200,debit
2025-03-13,SWIGGY ORDER,1800,debit
2025-03-14,UBER RIDE,290,debit
2025-03-14,AMAZON SHOPPING,1500,debit
2025-03-15,ZOMATO ORDER,880,debit
2025-03-15,ELECTRICITY BILL,1800,debit
2025-03-16,RAPIDO RIDE,120,debit
2025-03-16,BLINKIT ORDER,650,debit
2025-03-17,ZOMATO ORDER,2100,debit
2025-03-18,APOLLO PHARMACY,540,debit
2025-03-19,SWIGGY ORDER,780,debit
2025-03-20,MYNTRA SHOPPING,4200,debit
2025-03-20,ZOMATO ORDER,960,debit
2025-03-21,UBER RIDE,420,debit
2025-03-21,SWIGGY ORDER,3100,debit
2025-03-22,ZOMATO ORDER,1200,debit
2025-03-22,ZEPTO GROCERIES,900,debit
2025-03-23,SWIGGY ORDER,830,debit
2025-03-24,AMAZON SHOPPING,3200,debit
2025-03-25,ZOMATO ORDER,1560,debit
2025-03-26,UBER RIDE,350,debit
2025-03-27,SWIGGY ORDER,2800,debit
2025-03-28,BIGBASKET ORDER,1800,debit
2025-03-28,ZOMATO ORDER,1100,debit
2025-03-29,NYKAA PURCHASE,2600,debit
2025-03-30,SWIGGY ORDER,1400,debit
2025-03-31,DOMINOS PIZZA,980,debit
2025-04-01,SALARY CREDIT,85000,credit
2025-04-01,METRO CARD RECHARGE,500,debit
2025-04-02,ZOMATO ORDER,760,debit
2025-04-03,SWIGGY ORDER,1400,debit
2025-04-04,RENT PAYMENT,22000,debit
2025-04-04,NETFLIX SUBSCRIPTION,499,debit
2025-04-04,SPOTIFY PREMIUM,119,debit
2025-04-05,BIGBASKET ORDER,2400,debit
2025-04-06,ZOMATO ORDER,1080,debit
2025-04-06,AMAZON SHOPPING,4500,debit
2025-04-07,UBER RIDE,310,debit
2025-04-07,SWIGGY ORDER,2400,debit
2025-04-08,ZOMATO ORDER,1320,debit
2025-04-09,GYM MEMBERSHIP,800,debit
2025-04-10,BOOKMYSHOW TICKETS,1200,debit
2025-04-11,SWIGGY ORDER,890,debit
2025-04-12,ZOMATO ORDER,1700,debit
2025-04-12,SWIGGY ORDER,2600,debit
2025-04-13,MYNTRA SHOPPING,5800,debit
2025-04-13,ZOMATO ORDER,940,debit
2025-04-14,UBER RIDE,480,debit
2025-04-14,ELECTRICITY BILL,1900,debit
2025-04-15,ZEPTO GROCERIES,1200,debit
2025-04-16,SWIGGY ORDER,1100,debit
2025-04-17,ZOMATO ORDER,1450,debit
2025-04-18,AMAZON SHOPPING,2100,debit
2025-04-18,SWIGGY ORDER,3200,debit
2025-04-19,ZOMATO ORDER,1600,debit
2025-04-19,RAPIDO RIDE,180,debit
2025-04-20,SWIGGY ORDER,1050,debit
2025-04-20,BLINKIT ORDER,780,debit
2025-04-21,ZOMATO ORDER,2200,debit
2025-04-21,APOLLO PHARMACY,320,debit
2025-04-22,SWIGGY ORDER,980,debit
2025-04-22,H&M PURCHASE,2900,debit
2025-04-23,UBER RIDE,290,debit
2025-04-24,ZOMATO ORDER,1100,debit
2025-04-25,SWIGGY ORDER,3400,debit
2025-04-26,ZOMATO ORDER,880,debit
2025-04-27,BIGBASKET ORDER,1950,debit
2025-04-28,SWIGGY ORDER,1700,debit
2025-04-29,AMAZON SHOPPING,3800,debit
2025-04-30,ZOMATO ORDER,1300,debit
2025-05-01,SALARY CREDIT,85000,credit
2025-05-01,METRO CARD RECHARGE,500,debit
2025-05-01,RENT PAYMENT,22000,debit
2025-05-02,NETFLIX SUBSCRIPTION,499,debit
2025-05-02,SPOTIFY PREMIUM,119,debit
2025-05-02,ZOMATO ORDER,990,debit
2025-05-03,SWIGGY ORDER,1600,debit
2025-05-04,AMAZON SHOPPING,3100,debit
2025-05-05,UBER RIDE,340,debit
2025-05-05,ZOMATO ORDER,1250,debit
2025-05-06,SWIGGY ORDER,2100,debit
2025-05-06,GYM MEMBERSHIP,800,debit
2025-05-07,BIGBASKET ORDER,2200,debit
2025-05-07,ZOMATO ORDER,1480,debit
2025-05-08,MYNTRA SHOPPING,6200,debit
2025-05-08,SWIGGY ORDER,2900,debit
2025-05-09,ZOMATO ORDER,1740,debit
